Id,Start,Name,Impact,Currency
49775fdb-3705-4bab-8663-4108e1f62235,01/01/2020 03:00:00,New Year's Day,NONE,BRL
f836b252-2ae0-402e-8377-2f2455826a8b,01/01/2020 05:00:00,New Year's Day,NONE,USD
8a77c4ff-6eaf-4637-b295-8e59f22d39c6,01/02/2020 01:45:00,Caixin Manufacturing PMI,HIGH,CNY
43a48249-d598-4f6c-a712-8e8106ca7cf9,01/02/2020 12:30:00,Challenger Job Cuts,LOW,USD
76ad2ade-5da0-41b4-b0a2-a61ff3b52fdf,01/02/2020 13:00:00,HSBC PMI Manufacturing,LOW,BRL
7855b058-ea5f-411d-9d02-328958214c57,01/02/2020 13:30:00,Continuing Jobless Claims,LOW,USD
b0e0a0fa-efcd-49a4-b324-af0c5ea6b3bc,01/02/2020 13:30:00,Initial Jobless Claims,MEDIUM,USD
eb18a927-83c8-46ff-b950-9ca2e0859646,01/02/2020 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
fd0e8fd4-5b87-4b69-96a6-9203c469d2e6,01/02/2020 14:45:00,Markit Manufacturing PMI,MEDIUM,USD
f5960514-3dc0-4b94-8594-5d86adb93abb,01/02/2020 16:30:00,4-Week Bill Auction,LOW,USD
04bc843e-e8c2-44fe-97da-2f51c4256b43,01/02/2020 19:00:00,Trade Balance,LOW,BRL
edb92bcb-1f50-4cea-96d4-d0176206c937,01/03/2020 14:45:00,ISM-NY Business Conditions Index,LOW,USD
0d6a7422-45f5-4058-a4f5-f575dc19588f,01/03/2020 15:00:00,ISM Manufacturing Employment Index,MEDIUM,USD
5b125588-01ca-4aca-a365-8902ef7839f1,01/03/2020 15:00:00,ISM Manufacturing PMI,HIGH,USD
79a2a5f3-b9a7-4ca4-83ee-62125491cd39,01/03/2020 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
483841bd-3dd1-410e-ac74-58d4273332a9,01/03/2020 15:00:00,ISM Manufacturing New Orders Index,MEDIUM,USD
0f8a123c-1080-4611-b68b-c8aa5b838146,01/03/2020 15:00:00,Construction Spending (MoM),LOW,USD
08b598f8-25b6-48e6-9b9f-d30ea9afed2b,01/03/2020 15:30:00,EIA Natural Gas Storage Change,LOW,USD
a55abd4f-a8de-44cb-9c27-9ffaff6935e6,01/03/2020 16:00:00,EIA Crude Oil Stocks Change,LOW,USD
