Id,Start,Name,Impact,Currency
289f7bf0-e07a-4ae5-be3e-c3099d7d57b0,01/01/2016 00:00:00,New Year's Day,NONE,USD
26ae5171-fde2-4e63-8c5f-4b35fbeaba4c,01/01/2016 00:00:00,New Year's Day,NONE,CNY
fb2db134-ddaf-4149-a3bc-cd8b5b0cdc51,01/01/2016 00:00:00,New Year's Day,NONE,BRL
0347ac17-ba4c-4ef9-8b28-53b3fee55c5a,01/01/2016 01:00:00,Non-Manufacturing PMI,MEDIUM,CNY
b323a957-5b20-4838-b870-72eb74604682,01/01/2016 01:00:00,NBS Manufacturing PMI,MEDIUM,CNY
ab050a64-f430-4965-81ac-b15d04dd404c,01/01/2016 02:00:00,MNI Business Sentiment Indicator,LOW,CNY
fae595aa-88a4-42ea-b801-937d7fd7aec2,01/04/2016 01:45:00,Caixin Manufacturing PMI,MEDIUM,CNY
481f4e62-2f3c-4b38-b5f6-59f66c52a5e6,01/04/2016 12:00:00,HSBC PMI Manufacturing,LOW,BRL
ff190fcd-674e-4daa-951e-04f77d1ce97f,01/04/2016 14:45:00,Markit Manufacturing PMI,MEDIUM,USD
4510d2b9-f291-4b49-a7bb-b143d71d88c6,01/04/2016 15:00:00,ISM Manufacturing PMI,HIGH,USD
8d62a134-9b09-4a23-81ca-165ddf22f76c,01/04/2016 15:00:00,ISM Manufacturing Prices Paid,HIGH,USD
59a416f2-9884-46f0-b76c-9c0a747e1037,01/04/2016 15:00:00,Construction Spending (MoM),MEDIUM,USD
e15f79d6-024b-4848-814d-8660275befbe,01/04/2016 16:30:00,3-Month Bill Auction,LOW,USD
f32ae73f-c781-48f9-b463-0c1e08a79bf3,01/04/2016 16:30:00,6-Month Bill Auction,LOW,USD
37863f49-2afb-4f9b-99a6-b8013a4cda9b,01/04/2016 17:00:00,Trade Balance,LOW,BRL
183edda1-35cf-4726-a704-73e51ec59874,01/04/2016 19:30:00,CFTC Gold NC Net Positions,LOW,USD
446ab522-3bce-4bfd-9551-ae1002218446,01/04/2016 19:30:00,CFTC Oil NC Net Positions,LOW,USD
9d244296-a676-4d74-8bb9-16904e7357eb,01/04/2016 19:30:00,CFTC S&P 500 NC Net Positions,LOW,USD
25df42bd-b4cf-41b0-ae4f-1432f40fc460,01/05/2016 13:55:00,Redbook Index (YoY),LOW,USD
f6b6a576-48cb-405a-975c-168b9f7f3480,01/05/2016 13:55:00,Redbook Index (MoM),LOW,USD
79ca0e2c-99ad-4e18-b0e9-e34e3227b1d1,01/05/2016 14:45:00,ISM-NY Business Conditions Index,LOW,USD
b582450b-1632-4e1c-a334-f97d63bb8b95,01/05/2016 16:30:00,52-Week Bill Auction,LOW,USD
80c547da-7ffe-4f89-a36a-01a73bc229f8,01/05/2016 16:30:00,4-Week Bill Auction,LOW,USD
a64bde72-13bb-4dcd-a73f-2631f0bed27e,01/05/2016 20:01:54,Total Vehicle Sales,LOW,USD
13a817a3-91ab-477a-8040-b6829f652c25,01/05/2016 21:30:00,API Weekly Crude Oil Stock,LOW,USD
bd301933-10a5-4a37-8420-5f4eb306d22f,01/06/2016 01:45:00,Caixin Services PMI,MEDIUM,CNY
d18f0a6e-f51c-495a-95c3-13053503e338,01/06/2016 12:01:21,MBA Mortgage Applications,LOW,USD
1d0f90f2-41e7-49a0-93d0-9d547678c394,01/06/2016 13:15:00,ADP Employment Change,MEDIUM,USD
