Id,Start,Name,Impact,Currency
921961bf-1e44-44fd-8c98-ef55b4b878d0,01/01/2017 00:00:00,New Year's Day,NONE,USD
802d327b-2b27-424f-a9b4-2c7b95fab223,01/01/2017 00:00:00,New Year's Day,NONE,CNY
f5c1a81c-df5c-47de-bbca-919b89baaebb,01/01/2017 00:00:00,New Year's Day,NONE,BRL
58309ed1-1bd6-442c-af9d-9a6109471fbf,01/01/2017 01:00:00,Non-Manufacturing PMI,MEDIUM,CNY
d459c3c2-e5ad-4de2-a541-4e724f20bd34,01/01/2017 01:00:00,NBS Manufacturing PMI,HIGH,CNY
dad0bd3f-4c40-4ea7-8928-0293559d4135,01/01/2017 01:45:00,Caixin Manufacturing PMI,MEDIUM,CNY
bb0285de-4c5f-4ad9-9408-7089be6f3ff2,01/01/2017 02:00:00,Exports (YoY),MEDIUM,CNY
a42ea17b-1756-4837-a64b-e97eff2f846c,01/02/2017 00:00:00,New Year's Day (Observed),NONE,USD
0ca53fe1-7f95-447e-8d6f-b4e43dd6aa77,01/02/2017 12:00:00,HSBC PMI Manufacturing,LOW,BRL
92fb06e2-8c88-441c-9755-f721c9df7cbd,01/02/2017 17:00:00,Trade Balance,LOW,BRL
23a56d80-dbbe-4744-83f2-e30d9ae7cc52,01/03/2017 01:45:00,Caixin Manufacturing PMI,MEDIUM,CNY
3dfd4aa2-d937-4751-be42-efe7e2833feb,01/03/2017 14:45:00,Markit Manufacturing PMI,MEDIUM,USD
d1f248e0-cb0a-400b-9e82-e72dd62294ca,01/03/2017 15:00:00,ISM Manufacturing PMI,HIGH,USD
8823790e-8ef9-4b04-9e89-5a9eb3f488a8,01/03/2017 15:00:00,ISM Manufacturing Prices Paid,HIGH,USD
ebcbd94b-1ff0-49c3-ba40-db5a0802b305,01/03/2017 15:00:00,Construction Spending (MoM),MEDIUM,USD
60253963-e755-47a2-a7d9-ca364fc9195d,01/03/2017 16:30:00,3-Month Bill Auction,LOW,USD
0f70d5ca-22c8-4348-9086-a6fba0d1aa5e,01/03/2017 16:30:00,6-Month Bill Auction,LOW,USD
3cf9e78c-50f0-4657-9016-57337cf30308,01/03/2017 18:00:00,52-Week Bill Auction,LOW,USD
5a63c920-62ae-4e26-9c0a-6c78a6d7fde3,01/03/2017 18:00:00,4-Week Bill Auction,LOW,USD
d2c3a163-900e-499c-a877-758430c11f37,01/04/2017 09:40:01,Fipe's IPC Inflation,LOW,BRL
bccd4126-9d62-4b2a-be58-cec0815bf02e,01/04/2017 12:00:00,MBA Mortgage Applications,LOW,USD
09f91060-7d92-42ab-b770-11313b7d9703,01/04/2017 13:55:00,Redbook Index (YoY),LOW,USD
0de2e021-1e73-42bd-bbe3-d07d10b7cd45,01/04/2017 13:55:00,Redbook Index (MoM),LOW,USD
