Id,Start,Name,Impact,Currency
c01617ed-e0af-45ab-bcf7-d66022b20b1c,01/08/2019 13:55:00,Redbook Index (YoY),LOW,USD
5008ff52-05d4-4461-b243-a65b1afc0531,01/08/2019 13:55:00,Redbook Index (MoM),LOW,USD
d4e5d6ca-4564-40c8-af52-0c4a9da39c29,01/08/2019 15:00:00,JOLTS Job Openings,LOW,USD
40407ad0-6be2-4922-a30a-314195fab5fe,01/08/2019 18:00:00,3-Year Note Auction,LOW,USD
8a0f33ef-e34d-4f22-8482-08221e575bcf,01/08/2019 20:00:00,Consumer Credit Change,MEDIUM,USD
468c33fe-5d34-4b00-8340-157076718438,01/08/2019 21:30:00,API Weekly Crude Oil Stock,LOW,USD
8ac64460-48c6-4b5d-94eb-6c00c79ee0fe,01/09/2019 02:00:00,President Trump speech,HIGH,USD
06d26f6a-a5c4-47bf-af92-c1fb78339817,01/09/2019 12:00:00,MBA Mortgage Applications,LOW,USD
e50a5701-1159-4d4c-a52e-1ed249c68c61,01/09/2019 13:20:00,Fed's Bostic speech,MEDIUM,USD
853fdef0-e288-42ea-8c3e-78c13b539411,01/09/2019 14:00:00,Fed's Evans speech,LOW,USD
bfee63b8-a67e-40f2-a520-ae5076b46047,01/09/2019 15:30:00,EIA Crude Oil Stocks Change,LOW,USD
d7007ca2-620c-4aa1-8acb-4f315df50207,01/09/2019 16:30:00,Fed's Rosengren speech,MEDIUM,USD
aa253f90-5078-471c-815c-c2545741e0db,01/09/2019 18:00:00,10-Year Note Auction,LOW,USD
7117b402-db91-4e8e-95e8-ad79cbb7d46f,01/09/2019 19:00:00,FOMC Minutes,HIGH,USD
654436c4-0b09-4125-8ffe-9921e94ed6ad,01/10/2019 01:30:00,Consumer Price Index (MoM),MEDIUM,CNY
f0d4da20-4053-493a-8b60-b04bdbe1b52b,01/10/2019 01:30:00,Producer Price Index (YoY),MEDIUM,CNY
f8faa687-f896-4e74-87c6-c087d1d5b85f,01/10/2019 01:30:00,Consumer Price Index (YoY),MEDIUM,CNY
a4328ef9-3023-4d1b-9ed4-a451c6c0cd87,01/10/2019 13:30:00,Continuing Jobless Claims,LOW,USD
4003e584-192d-40fc-9a29-76bbdc63c834,01/10/2019 13:30:00,Initial Jobless Claims,MEDIUM,USD
